device_id,device_type,first_seen_day
dev_00186,ios,17
dev_00187,web,21
dev_00188,android,76
dev_00189,ios,86
dev_00190,android,36
dev_00191,android,47
dev_00192,android,78
dev_00193,ios,17
dev_00194,android,20
dev_00195,ios,77
dev_00196,android,18
dev_00197,web,77
dev_00198,web,49
dev_00199,android,99
dev_00200,android,3
dev_00201,android,94
dev_00202,web,22
dev_00203,android,3
dev_00204,ios,72
dev_00205,ios,53
dev_00206,web,83
dev_00207,ios,10
dev_00208,ios,8
dev_00209,tablet,56
dev_00210,android,88
dev_00211,web,40
dev_00212,android,79
dev_00213,ios,90
dev_00214,web,86
dev_00215,ios,50
dev_00216,ios,69
dev_00217,android,52
dev_00218,android,67
dev_00219,android,56
dev_00220,ios,52
dev_00221,ios,43
dev_00222,android,65
dev_00223,android,75
dev_00224,android,91
dev_00225,android,61
dev_00226,android,10
dev_00227,web,58
dev_00228,ios,31
dev_00229,android,2
dev_00230,ios,7
dev_00231,web,59
dev_00232,android,94
dev_00233,android,50
dev_00234,android,44
dev_00235,android,8
dev_00236,web,67
dev_00237,tablet,5
dev_00238,android,84
dev_00239,web,81
dev_00240,android,99
dev_00241,ios,28
dev_00242,web,16
dev_00243,android,29
dev_00244,android,79
dev_00245,ios,21
dev_00246,tablet,88
dev_00247,android,15
dev_00248,android,4
dev_00249,android,21
dev_00250,ios,75
dev_00251,ios,60
dev_00252,web,35
dev_00253,web,65
dev_00254,web,64
dev_00255,web,55
dev_00256,android,51
dev_00257,ios,10
dev_00258,android,25
dev_00259,android,52
dev_00260,tablet,13
dev_00261,ios,47
dev_00262,tablet,11
dev_00263,android,78
dev_00264,ios,10
dev_00265,ios,9
dev_00266,android,63
dev_00267,android,22
dev_00268,ios,35
dev_00269,android,31
dev_00270,tablet,21
dev_00271,android,76
dev_00272,android,69
dev_00273,web,23
dev_00274,android,68
dev_00275,web,71
dev_00276,ios,53
dev_00277,android,57
dev_00278,ios,93
dev_00279,ios,45
dev_00280,web,38
dev_00281,web,53
dev_00282,ios,83
dev_00283,ios,70
dev_00284,android,7
dev_00285,ios,45
dev_00286,tablet,73
dev_00287,ios,22
dev_00288,ios,98
dev_00289,ios,80
dev_00290,web,84
dev_00291,tablet,8
dev_00292,android,57
dev_00293,android,52
dev_00294,ios,62
dev_00295,ios,85
dev_00296,ios,35
dev_00297,android,53
dev_00298,android,67
dev_00299,ios,75
dev_00300,ios,77
dev_00301,ios,33
dev_00302,ios,99
dev_00303,ios,0
dev_00304,web,49
dev_00305,ios,60
dev_00306,ios,6
dev_00307,ios,45
dev_00308,android,59
dev_00309,android,60
dev_00310,ios,11
dev_00311,web,27
dev_00312,ios,24
dev_00313,android,63
dev_00314,ios,32
dev_00315,android,57
dev_00316,ios,73
dev_00317,web,79
dev_00318,ios,18
dev_00319,ios,90
dev_00320,android,16
dev_00321,ios,2
dev_00322,web,4
dev_00323,ios,20
dev_00324,ios,87
dev_00325,android,20
dev_00326,android,69
dev_00327,android,41
dev_00328,android,3
dev_00329,android,44
dev_00330,tablet,2
dev_00331,ios,47
dev_00332,android,55
dev_00333,android,52
dev_00334,android,28
dev_00335,web,76
dev_00336,android,59
dev_00337,web,25
dev_00338,web,43
dev_00339,android,10
dev_00340,ios,92
dev_00341,tablet,75
dev_00342,android,28
dev_00343,android,67
dev_00344,tablet,67
dev_00345,web,60
dev_00346,ios,5
dev_00347,ios,87
dev_00348,android,95
dev_00349,web,97
dev_00350,ios,98
dev_00351,android,92
dev_00352,ios,73
dev_00353,tablet,5
dev_00354,web,46
dev_00355,android,24
dev_00356,android,21
dev_00357,tablet,83
dev_00358,tablet,81
dev_00359,ios,52
dev_00360,ios,73
dev_00361,ios,12
dev_00362,android,22
dev_00363,android,86
dev_00364,android,45
dev_00365,android,54
dev_00366,web,46
dev_00367,android,20
dev_00368,android,82
dev_00369,ios,75
dev_00370,android,68
dev_00371,android,35
dev_00372,ios,64
dev_00373,android,95
dev_00374,ios,64
dev_00375,web,49
dev_00376,android,27
dev_00377,web,52
dev_00378,web,37
dev_00379,web,61
dev_00380,ios,4
dev_00381,ios,19
dev_00382,ios,78
dev_00383,ios,38
dev_00384,android,43
dev_00385,tablet,54
dev_00386,ios,43
dev_00387,web,75
dev_00388,android,24
dev_00389,android,75
dev_00390,ios,20
dev_00391,ios,37
dev_00392,ios,58
dev_00393,android,88
dev_00394,android,23
dev_00395,ios,58
dev_00396,android,6
dev_00397,tablet,7
dev_00398,android,76
dev_00399,android,71
dev_00400,android,37
dev_00401,ios,62
dev_00402,ios,38
dev_00403,ios,27
dev_00404,tablet,43
dev_00405,android,31
dev_00406,ios,81
dev_00407,android,41
dev_00408,android,32
dev_00409,ios,53
dev_00410,android,75
dev_00411,ios,27
dev_00412,ios,93
dev_00413,web,46
dev_00414,ios,66
dev_00415,ios,95
dev_00416,android,43
dev_00417,android,19
dev_00418,android,74
dev_00419,ios,0
dev_00420,tablet,45
dev_00421,android,97
dev_00422,ios,41
dev_00423,web,68
dev_00424,web,52
dev_00425,ios,21
dev_00426,ios,31
dev_00427,ios,52
dev_00428,web,10
dev_00429,android,41
dev_00430,tablet,41
dev_00431,android,83
dev_00432,web,12
dev_00433,android,84
dev_00434,android,41
dev_00435,android,65
dev_00436,ios,55
dev_00437,android,29
dev_00438,android,93
dev_00439,ios,22
dev_00440,android,3
dev_00441,web,75
dev_00442,web,62
dev_00443,ios,89
dev_00444,android,45
dev_00445,android,1
dev_00446,web,2
dev_00447,android,43
dev_00448,android,24
dev_00449,tablet,92
dev_00450,tablet,11
dev_00451,android,88
dev_00452,ios,21
dev_00453,ios,11
dev_00454,web,27
dev_00455,android,14
dev_00456,android,40
dev_00457,ios,33
dev_00458,android,52
dev_00459,ios,53
dev_00460,android,0
dev_00461,web,12
dev_00462,web,16
dev_00463,ios,19
dev_00464,web,9
dev_00465,android,31
dev_00466,ios,54
dev_00467,android,30
dev_00468,web,32
dev_00469,web,46
dev_00470,web,54
dev_00471,web,33
dev_00472,tablet,22
dev_00473,android,40
dev_00474,tablet,2
dev_00475,ios,49
dev_00476,ios,94
dev_00477,ios,39
dev_00478,android,10
dev_00479,android,70
dev_00480,android,12
dev_00481,android,19
dev_00482,ios,14
dev_00483,web,88
dev_00484,ios,98
dev_00485,ios,56
dev_00486,ios,61
dev_00487,ios,64
dev_00488,android,61
dev_00489,web,54
dev_00490,android,98
dev_00491,ios,73
dev_00492,web,8
dev_00493,ios,39
dev_00494,web,97
dev_00495,android,40
dev_00496,web,20
dev_00497,ios,86
dev_00498,web,62
dev_00499,ios,56
dev_00500,web,42
