instrument_id,instrument_type
ins_00204,bank_token
ins_00205,bank_token
ins_00206,bank_token
ins_00207,card_token
ins_00208,bank_token
ins_00209,card_token
ins_00210,wallet_token
ins_00211,card_token
ins_00212,card_token
ins_00213,bank_token
ins_00214,bank_token
ins_00215,card_token
ins_00216,bank_token
ins_00217,card_token
ins_00218,bank_token
ins_00219,card_token
ins_00220,card_token
ins_00221,card_token
ins_00222,card_token
ins_00223,card_token
ins_00224,card_token
ins_00225,card_token
ins_00226,card_token
ins_00227,card_token
ins_00228,card_token
ins_00229,bank_token
ins_00230,wallet_token
ins_00231,card_token
ins_00232,wallet_token
ins_00233,card_token
ins_00234,card_token
ins_00235,bank_token
ins_00236,bank_token
ins_00237,bank_token
ins_00238,card_token
ins_00239,bank_token
ins_00240,card_token
ins_00241,card_token
ins_00242,card_token
ins_00243,wallet_token
ins_00244,card_token
ins_00245,bank_token
ins_00246,bank_token
ins_00247,bank_token
ins_00248,bank_token
ins_00249,wallet_token
ins_00250,card_token
ins_00251,card_token
ins_00252,bank_token
ins_00253,card_token
ins_00254,card_token
ins_00255,card_token
ins_00256,card_token
ins_00257,card_token
ins_00258,card_token
ins_00259,wallet_token
ins_00260,card_token
ins_00261,wallet_token
ins_00262,wallet_token
ins_00263,card_token
ins_00264,bank_token
ins_00265,bank_token
ins_00266,bank_token
ins_00267,card_token
ins_00268,card_token
ins_00269,card_token
ins_00270,bank_token
ins_00271,wallet_token
ins_00272,bank_token
ins_00273,bank_token
ins_00274,wallet_token
ins_00275,bank_token
ins_00276,card_token
ins_00277,wallet_token
ins_00278,card_token
ins_00279,card_token
ins_00280,card_token
ins_00281,wallet_token
ins_00282,card_token
ins_00283,card_token
ins_00284,card_token
ins_00285,card_token
ins_00286,card_token
ins_00287,bank_token
ins_00288,wallet_token
ins_00289,card_token
ins_00290,card_token
ins_00291,card_token
ins_00292,card_token
ins_00293,card_token
ins_00294,bank_token
ins_00295,bank_token
ins_00296,card_token
ins_00297,card_token
ins_00298,card_token
ins_00299,card_token
ins_00300,wallet_token
ins_00301,bank_token
ins_00302,wallet_token
ins_00303,wallet_token
ins_00304,bank_token
ins_00305,wallet_token
ins_00306,card_token
ins_00307,card_token
ins_00308,card_token
ins_00309,card_token
ins_00310,card_token
ins_00311,card_token
ins_00312,bank_token
ins_00313,bank_token
ins_00314,bank_token
ins_00315,card_token
ins_00316,bank_token
ins_00317,card_token
ins_00318,card_token
ins_00319,card_token
ins_00320,card_token
ins_00321,card_token
ins_00322,bank_token
ins_00323,bank_token
ins_00324,bank_token
ins_00325,card_token
ins_00326,bank_token
ins_00327,bank_token
ins_00328,card_token
ins_00329,bank_token
ins_00330,card_token
ins_00331,card_token
ins_00332,card_token
ins_00333,card_token
ins_00334,card_token
ins_00335,card_token
ins_00336,card_token
ins_00337,wallet_token
ins_00338,card_token
ins_00339,card_token
ins_00340,card_token
ins_00341,wallet_token
ins_00342,card_token
ins_00343,wallet_token
ins_00344,card_token
ins_00345,card_token
ins_00346,card_token
ins_00347,card_token
ins_00348,bank_token
ins_00349,wallet_token
ins_00350,card_token
ins_00351,wallet_token
ins_00352,card_token
ins_00353,card_token
ins_00354,card_token
ins_00355,card_token
ins_00356,bank_token
ins_00357,card_token
ins_00358,card_token
ins_00359,card_token
ins_00360,card_token
ins_00361,card_token
ins_00362,bank_token
ins_00363,card_token
ins_00364,card_token
ins_00365,card_token
ins_00366,card_token
ins_00367,card_token
ins_00368,bank_token
ins_00369,wallet_token
ins_00370,card_token
ins_00371,wallet_token
ins_00372,bank_token
ins_00373,bank_token
ins_00374,bank_token
ins_00375,bank_token
ins_00376,bank_token
ins_00377,card_token
ins_00378,card_token
ins_00379,card_token
ins_00380,card_token
ins_00381,bank_token
ins_00382,card_token
ins_00383,card_token
ins_00384,card_token
ins_00385,card_token
ins_00386,bank_token
ins_00387,bank_token
ins_00388,card_token
ins_00389,card_token
ins_00390,card_token
ins_00391,card_token
ins_00392,bank_token
ins_00393,card_token
ins_00394,card_token
ins_00395,card_token
ins_00396,wallet_token
ins_00397,bank_token
ins_00398,card_token
ins_00399,card_token
ins_00400,card_token
ins_00401,wallet_token
ins_00402,card_token
ins_00403,card_token
ins_00404,wallet_token
ins_00405,bank_token
ins_00406,card_token
ins_00407,card_token
ins_00408,card_token
ins_00409,bank_token
ins_00410,card_token
ins_00411,wallet_token
ins_00412,wallet_token
ins_00413,card_token
ins_00414,bank_token
ins_00415,card_token
ins_00416,card_token
ins_00417,bank_token
ins_00418,card_token
ins_00419,card_token
ins_00420,card_token
ins_00421,card_token
ins_00422,card_token
ins_00423,bank_token
ins_00424,bank_token
ins_00425,bank_token
ins_00426,bank_token
ins_00427,card_token
ins_00428,bank_token
ins_00429,card_token
ins_00430,card_token
ins_00431,wallet_token
ins_00432,card_token
ins_00433,card_token
ins_00434,card_token
ins_00435,card_token
ins_00436,card_token
ins_00437,card_token
ins_00438,wallet_token
ins_00439,card_token
ins_00440,card_token
ins_00441,card_token
ins_00442,bank_token
ins_00443,card_token
ins_00444,card_token
ins_00445,card_token
ins_00446,bank_token
ins_00447,bank_token
ins_00448,bank_token
ins_00449,bank_token
ins_00450,card_token
ins_00451,card_token
ins_00452,card_token
ins_00453,card_token
ins_00454,card_token
ins_00455,card_token
ins_00456,card_token
ins_00457,card_token
ins_00458,card_token
ins_00459,bank_token
ins_00460,bank_token
ins_00461,card_token
ins_00462,card_token
ins_00463,bank_token
ins_00464,bank_token
ins_00465,card_token
ins_00466,card_token
ins_00467,bank_token
ins_00468,bank_token
ins_00469,card_token
ins_00470,card_token
ins_00471,wallet_token
ins_00472,card_token
ins_00473,wallet_token
ins_00474,card_token
ins_00475,card_token
ins_00476,card_token
ins_00477,card_token
ins_00478,wallet_token
ins_00479,card_token
ins_00480,wallet_token
ins_00481,card_token
ins_00482,wallet_token
ins_00483,wallet_token
ins_00484,card_token
ins_00485,card_token
ins_00486,bank_token
ins_00487,card_token
ins_00488,wallet_token
ins_00489,card_token
ins_00490,card_token
ins_00491,card_token
ins_00492,bank_token
ins_00493,wallet_token
ins_00494,card_token
ins_00495,bank_token
ins_00496,wallet_token
ins_00497,card_token
ins_00498,card_token
ins_00499,bank_token
ins_00500,bank_token
ins_00501,card_token
ins_00502,bank_token
ins_00503,card_token
ins_00504,wallet_token
ins_00505,wallet_token
ins_00506,bank_token
ins_00507,card_token
ins_00508,card_token
ins_00509,card_token
ins_00510,card_token
ins_00511,bank_token
ins_00512,card_token
ins_00513,card_token
ins_00514,card_token
ins_00515,card_token
ins_00516,card_token
ins_00517,bank_token
ins_00518,bank_token
ins_00519,card_token
ins_00520,wallet_token
ins_00521,wallet_token
ins_00522,card_token
ins_00523,bank_token
ins_00524,card_token
ins_00525,card_token
ins_00526,card_token
ins_00527,card_token
ins_00528,wallet_token
ins_00529,wallet_token
ins_00530,bank_token
ins_00531,card_token
ins_00532,card_token
ins_00533,wallet_token
ins_00534,card_token
ins_00535,card_token
ins_00536,card_token
ins_00537,card_token
ins_00538,card_token
ins_00539,card_token
ins_00540,bank_token
ins_00541,card_token
ins_00542,card_token
ins_00543,card_token
ins_00544,card_token
ins_00545,wallet_token
ins_00546,card_token
ins_00547,bank_token
ins_00548,bank_token
ins_00549,card_token
ins_00550,bank_token
ins_00551,bank_token
ins_00552,card_token
ins_00553,card_token
ins_00554,card_token
ins_00555,wallet_token
ins_00556,bank_token
ins_00557,wallet_token
ins_00558,wallet_token
ins_00559,card_token
ins_00560,bank_token
ins_00561,card_token
ins_00562,bank_token
ins_00563,card_token
ins_00564,card_token
ins_00565,bank_token
ins_00566,bank_token
ins_00567,bank_token
ins_00568,card_token
ins_00569,card_token
ins_00570,wallet_token
ins_00571,card_token
ins_00572,card_token
ins_00573,card_token
ins_00574,card_token
ins_00575,card_token
ins_00576,card_token
ins_00577,bank_token
ins_00578,wallet_token
ins_00579,wallet_token
ins_00580,card_token
ins_00581,card_token
ins_00582,bank_token
ins_00583,bank_token
ins_00584,card_token
ins_00585,bank_token
ins_00586,bank_token
ins_00587,bank_token
ins_00588,bank_token
ins_00589,card_token
ins_00590,card_token
ins_00591,bank_token
ins_00592,card_token
ins_00593,wallet_token
ins_00594,bank_token
ins_00595,card_token
ins_00596,bank_token
ins_00597,bank_token
ins_00598,bank_token
ins_00599,card_token
ins_00600,wallet_token
ins_00601,card_token
ins_00602,card_token
ins_00603,card_token
ins_00604,bank_token
ins_00605,bank_token
ins_00606,card_token
ins_00607,card_token
ins_00608,bank_token
ins_00609,bank_token
ins_00610,card_token
ins_00611,wallet_token
ins_00612,bank_token
ins_00613,wallet_token
ins_00614,wallet_token
ins_00615,wallet_token
ins_00616,bank_token
ins_00617,bank_token
ins_00618,card_token
ins_00619,card_token
ins_00620,bank_token
ins_00621,card_token
ins_00622,wallet_token
ins_00623,card_token
ins_00624,card_token
ins_00625,card_token
ins_00626,card_token
ins_00627,card_token
ins_00628,card_token
ins_00629,bank_token
ins_00630,card_token
ins_00631,card_token
ins_00632,card_token
ins_00633,card_token
ins_00634,card_token
ins_00635,bank_token
ins_00636,bank_token
ins_00637,card_token
ins_00638,bank_token
ins_00639,card_token
ins_00640,card_token
ins_00641,wallet_token
ins_00642,card_token
ins_00643,wallet_token
ins_00644,card_token
ins_00645,card_token
ins_00646,card_token
ins_00647,card_token
ins_00648,wallet_token
ins_00649,card_token
ins_00650,wallet_token
ins_00651,wallet_token
ins_00652,card_token
ins_00653,card_token
ins_00654,card_token
ins_00655,card_token
ins_00656,bank_token
ins_00657,card_token
ins_00658,wallet_token
ins_00659,bank_token
ins_00660,card_token
ins_00661,bank_token
ins_00662,card_token
ins_00663,wallet_token
ins_00664,card_token
ins_00665,wallet_token
ins_00666,bank_token
ins_00667,wallet_token
ins_00668,card_token
ins_00669,bank_token
ins_00670,card_token
ins_00671,bank_token
ins_00672,card_token
ins_00673,card_token
ins_00674,card_token
ins_00675,card_token
ins_00676,card_token
ins_00677,bank_token
ins_00678,card_token
ins_00679,bank_token
ins_00680,card_token
ins_00681,bank_token
ins_00682,bank_token
ins_00683,card_token
ins_00684,bank_token
ins_00685,wallet_token
ins_00686,bank_token
ins_00687,card_token
ins_00688,card_token
ins_00689,bank_token
ins_00690,card_token
ins_00691,bank_token
ins_00692,card_token
ins_00693,bank_token
ins_00694,card_token
ins_00695,card_token
ins_00696,wallet_token
ins_00697,wallet_token
ins_00698,wallet_token
ins_00699,wallet_token
ins_00700,card_token
ins_00701,card_token
ins_00702,card_token
ins_00703,card_token
ins_00704,card_token
ins_00705,wallet_token
ins_00706,card_token
ins_00707,card_token
ins_00708,card_token
ins_00709,card_token
ins_00710,card_token
ins_00711,bank_token
ins_00712,card_token
ins_00713,bank_token
ins_00714,wallet_token
ins_00715,bank_token
ins_00716,bank_token
ins_00717,card_token
ins_00718,card_token
ins_00719,card_token
ins_00720,wallet_token
ins_00721,bank_token
ins_00722,card_token
ins_00723,card_token
ins_00724,bank_token
ins_00725,bank_token
ins_00726,card_token
ins_00727,wallet_token
ins_00728,bank_token
ins_00729,bank_token
ins_00730,card_token
ins_00731,card_token
ins_00732,wallet_token
ins_00733,bank_token
ins_00734,card_token
ins_00735,bank_token
ins_00736,card_token
ins_00737,bank_token
ins_00738,card_token
ins_00739,bank_token
ins_00740,card_token
ins_00741,card_token
ins_00742,card_token
ins_00743,bank_token
ins_00744,card_token
ins_00745,card_token
ins_00746,bank_token
ins_00747,card_token
ins_00748,card_token
ins_00749,card_token
ins_00750,wallet_token
ins_00751,card_token
ins_00752,card_token
ins_00753,card_token
ins_00754,card_token
ins_00755,card_token
ins_00756,card_token
ins_00757,card_token
ins_00758,card_token
ins_00759,wallet_token
ins_00760,card_token
ins_00761,card_token
ins_00762,wallet_token
ins_00763,wallet_token
ins_00764,bank_token
ins_00765,card_token
ins_00766,card_token
ins_00767,card_token
ins_00768,card_token
ins_00769,card_token
ins_00770,card_token
ins_00771,card_token
ins_00772,bank_token
ins_00773,card_token
ins_00774,card_token
ins_00775,bank_token
ins_00776,wallet_token
ins_00777,card_token
ins_00778,card_token
ins_00779,card_token
ins_00780,card_token
ins_00781,bank_token
ins_00782,card_token
ins_00783,card_token
ins_00784,card_token
ins_00785,card_token
ins_00786,card_token
ins_00787,card_token
ins_00788,wallet_token
ins_00789,bank_token
ins_00790,card_token
ins_00791,card_token
ins_00792,bank_token
ins_00793,card_token
ins_00794,card_token
ins_00795,bank_token
ins_00796,card_token
ins_00797,card_token
ins_00798,card_token
ins_00799,card_token
ins_00800,card_token
ins_00801,wallet_token
ins_00802,card_token
ins_00803,card_token
ins_00804,bank_token
ins_00805,card_token
ins_00806,card_token
ins_00807,card_token
ins_00808,bank_token
ins_00809,card_token
ins_00810,bank_token
ins_00811,wallet_token
ins_00812,bank_token
ins_00813,wallet_token
ins_00814,bank_token
ins_00815,wallet_token
ins_00816,bank_token
ins_00817,bank_token
ins_00818,bank_token
ins_00819,wallet_token
ins_00820,card_token
ins_00821,bank_token
ins_00822,card_token
ins_00823,wallet_token
ins_00824,card_token
ins_00825,bank_token
ins_00826,bank_token
ins_00827,wallet_token
ins_00828,card_token
ins_00829,bank_token
ins_00830,bank_token
ins_00831,wallet_token
ins_00832,wallet_token
ins_00833,card_token
ins_00834,card_token
ins_00835,card_token
ins_00836,wallet_token
ins_00837,card_token
ins_00838,bank_token
ins_00839,bank_token
ins_00840,card_token
ins_00841,card_token
ins_00842,card_token
ins_00843,wallet_token
ins_00844,card_token
ins_00845,card_token
ins_00846,bank_token
ins_00847,card_token
ins_00848,wallet_token
ins_00849,card_token
ins_00850,card_token
ins_00851,card_token
ins_00852,card_token
ins_00853,card_token
ins_00854,bank_token
ins_00855,card_token
ins_00856,card_token
ins_00857,card_token
ins_00858,card_token
ins_00859,wallet_token
ins_00860,card_token
ins_00861,wallet_token
ins_00862,card_token
ins_00863,card_token
ins_00864,card_token
ins_00865,card_token
ins_00866,bank_token
ins_00867,card_token
ins_00868,card_token
ins_00869,bank_token
ins_00870,bank_token
ins_00871,wallet_token
ins_00872,wallet_token
ins_00873,bank_token
ins_00874,bank_token
ins_00875,bank_token
ins_00876,card_token
ins_00877,bank_token
ins_00878,card_token
ins_00879,bank_token
ins_00880,wallet_token
ins_00881,card_token
ins_00882,bank_token
ins_00883,wallet_token
ins_00884,card_token
ins_00885,card_token
ins_00886,wallet_token
ins_00887,wallet_token
ins_00888,card_token
ins_00889,card_token
ins_00890,bank_token
ins_00891,card_token
ins_00892,card_token
ins_00893,card_token
ins_00894,card_token
ins_00895,card_token
ins_00896,bank_token
ins_00897,bank_token
ins_00898,bank_token
ins_00899,card_token
ins_00900,card_token
ins_00901,card_token
ins_00902,card_token
ins_00903,card_token
ins_00904,card_token
ins_00905,card_token
ins_00906,card_token
ins_00907,bank_token
ins_00908,bank_token
ins_00909,wallet_token
ins_00910,bank_token
ins_00911,card_token
ins_00912,card_token
ins_00913,card_token
ins_00914,card_token
ins_00915,card_token
ins_00916,card_token
ins_00917,card_token
ins_00918,card_token
ins_00919,bank_token
ins_00920,bank_token
ins_00921,bank_token
ins_00922,bank_token
ins_00923,card_token
ins_00924,card_token
ins_00925,bank_token
ins_00926,card_token
ins_00927,card_token
ins_00928,card_token
ins_00929,wallet_token
ins_00930,bank_token
ins_00931,card_token
ins_00932,bank_token
ins_00933,card_token
ins_00934,card_token
ins_00935,card_token
ins_00936,card_token
ins_00937,bank_token
ins_00938,card_token
ins_00939,bank_token
ins_00940,card_token
ins_00941,bank_token
ins_00942,bank_token
ins_00943,bank_token
ins_00944,bank_token
ins_00945,wallet_token
ins_00946,card_token
ins_00947,bank_token
ins_00948,bank_token
ins_00949,card_token
ins_00950,card_token
ins_00951,card_token
ins_00952,card_token
ins_00953,card_token
ins_00954,card_token
ins_00955,bank_token
ins_00956,card_token
ins_00957,bank_token
ins_00958,card_token
ins_00959,bank_token
ins_00960,card_token
ins_00961,card_token
ins_00962,card_token
ins_00963,bank_token
ins_00964,card_token
ins_00965,wallet_token
ins_00966,card_token
ins_00967,card_token
ins_00968,card_token
ins_00969,bank_token
ins_00970,card_token
ins_00971,card_token
ins_00972,card_token
ins_00973,card_token
ins_00974,card_token
ins_00975,wallet_token
ins_00976,card_token
ins_00977,card_token
ins_00978,wallet_token
ins_00979,card_token
ins_00980,card_token
ins_00981,bank_token
ins_00982,wallet_token
ins_00983,bank_token
ins_00984,card_token
ins_00985,wallet_token
ins_00986,card_token
ins_00987,wallet_token
ins_00988,bank_token
ins_00989,wallet_token
ins_00990,card_token
ins_00991,card_token
ins_00992,bank_token
ins_00993,card_token
ins_00994,card_token
ins_00995,wallet_token
ins_00996,bank_token
ins_00997,card_token
ins_00998,card_token
ins_00999,card_token
ins_01000,card_token
